"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHLA" "CHNO" "CADE27" "PISI" "PIAT" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "SESE3" "TABR2" "THPL" "TOCA" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
593528 -121.93 47.58 20 1.17 "under_thresh" 180 9.65073473266165 93528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
570748 -122.52 43.78 399 1.17 "under_thresh" -199 418.470727920567 70748 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
584110 -122.49 45.82 240 1.17 "under_thresh" -40 193.226187037974 84110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589552 -123.17 46.83 30 1.17 "under_thresh" 170 116.012132246863 89552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
570426 -123.17 43.74 427 1.17 "under_thresh" -227 430.393728964347 70426 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
586180 -122.76 46.18 270 1.18 "under_thresh" -70 159.9173732654 86180 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
572349 -122.45 43.98 521 1.18 "under_thresh" -321 395.857282367332 72349 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
585525 -122.82 46.06 270 1.18 "under_thresh" -70 174.037866690698 85525 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
593477 -121.94 47.57 30 1.18 "under_thresh" 170 8.40677575786389 93477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
588547 -122.55 46.64 330 1.18 "under_thresh" -130 106.373821390961 88547 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
571218 -122.66 43.84 549 1.18 "under_thresh" -349 412.972926701222 71218 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
586603 -122.8 46.25 270 1.18 "under_thresh" -70 153.758216852082 86603 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
580767 -122.4 45.22 315 1.18 "under_thresh" -115 258.277655909233 80767 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
