"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
417191 -121.85 49.16 8 1.3 "under_thresh" 192 181.799483056975 1549931 36 "Sitka_Coastal_Conifer_Forest"
417192 -121.83 49.16 9 1.3 "under_thresh" 191 181.916979407378 1549932 36 "Sitka_Coastal_Conifer_Forest"
149802 -122.78 46.22 314 1.3 "under_thresh" -114 156.293919050294 481056 31 "Oregonian_Coastal_Conifer_Forest"
419924 -121.86 49.17 9 1.3 "under_thresh" 191 182.854475747437 1560909 36 "Sitka_Coastal_Conifer_Forest"
149301 -123.39 43.49 440 1.31 "under_thresh" -240 461.284127371882 479057 31 "Oregonian_Coastal_Conifer_Forest"
417171 -122.25 49.13 2 1.31 "under_thresh" 198 178.663881337329 1549855 36 "Sitka_Coastal_Conifer_Forest"
417201 -121.83 49.18 9 1.31 "under_thresh" 191 184.133350921295 1549977 36 "Sitka_Coastal_Conifer_Forest"
148355 -122.74 43.29 705 1.31 "under_thresh" -505 474.418887869815 475142 32 "Cascade-Sierran_Montane_Conifer_Forest"
417189 -122.12 49.16 1 1.31 "under_thresh" 199 181.395216880085 1549922 36 "Sitka_Coastal_Conifer_Forest"
417179 -122.22 49.15 1 1.31 "under_thresh" 199 180.696253675043 1549884 36 "Sitka_Coastal_Conifer_Forest"
149221 -123.95 42.97 155 1.31 "under_thresh" 45 528.543264560387 478734 31 "Oregonian_Coastal_Conifer_Forest"
419935 -121.9 49.18 8 1.31 "under_thresh" 192 183.779200734306 1560951 36 "Sitka_Coastal_Conifer_Forest"
417188 -122.14 49.16 1 1.31 "under_thresh" 199 181.453045976524 1549921 36 "Sitka_Coastal_Conifer_Forest"
149453 -122.83 44.31 174 1.31 "under_thresh" 26 363.144736950455 479696 31 "Oregonian_Coastal_Conifer_Forest"
149838 -123 46.4 88 1.32 "under_thresh" 112 145.502826010287 481178 31 "Oregonian_Coastal_Conifer_Forest"
